my_score,opponent_score,win
0,0,False
0,1,False
0,2,False
0,3,False
1,3,False
1,4,False
2,4,False
2,5,False
2,6,False
3,6,False
4,6,False
5,6,False
5,7,False
6,7,False
6,8,False
7,8,False
7,9,False
7,10,False
7,11,False
8,11,False
8,12,False
9,12,False
10,12,False
10,13,False
10,14,False
10,15,False
11,15,False
12,15,False
12,16,False
13,16,False
13,17,False
14,17,False
14,18,False
15,18,False
15,19,False
15,20,False
15,21,False
16,21,False
16,22,False
17,22,False
17,23,False
17,24,False
18,24,False
19,24,False
20,24,False
21,24,False
21,25,False
