my_score,opponent_score,win
0,0,True
0,1,True
0,2,True
1,2,True
1,3,True
2,3,True
2,4,True
3,4,True
3,5,True
4,5,True
5,5,True
5,6,True
6,6,True
7,6,True
8,6,True
9,6,True
10,6,True
11,6,True
11,7,True
12,7,True
12,8,True
12,9,True
13,9,True
14,9,True
15,9,True
15,10,True
15,11,True
15,12,True
16,12,True
16,13,True
16,14,True
17,14,True
18,14,True
19,14,True
20,14,True
20,15,True
21,15,True
21,16,True
22,16,True
22,17,True
23,17,True
23,18,True
23,19,True
24,19,True
24,20,True
24,21,True
24,22,True
25,22,True
