my_score,opponent_score,win
0,0,False
0,1,False
0,2,False
1,2,False
2,2,False
3,2,False
3,3,False
4,3,False
4,4,False
5,4,False
5,5,False
6,5,False
6,6,False
6,7,False
7,7,False
7,8,False
7,9,False
7,10,False
8,10,False
8,11,False
9,11,False
9,12,False
9,13,False
10,13,False
10,14,False
11,14,False
12,14,False
12,15,False
13,15,False
14,15,False
14,16,False
15,16,False
16,16,False
16,17,False
16,18,False
17,18,False
18,18,False
19,18,False
19,19,False
20,19,False
20,20,False
20,21,False
20,22,False
21,22,False
22,22,False
22,23,False
22,24,False
22,25,False
