my_score,opponent_score,win
0,0,False
0,1,False
0,2,False
0,3,False
1,3,False
2,3,False
2,4,False
3,4,False
4,4,False
5,4,False
6,4,False
6,5,False
6,6,False
6,7,False
6,8,False
6,9,False
7,9,False
7,10,False
7,11,False
8,11,False
8,12,False
8,13,False
8,14,False
9,14,False
9,15,False
9,16,False
10,16,False
11,16,False
12,16,False
12,17,False
13,17,False
13,18,False
14,18,False
14,19,False
14,20,False
15,20,False
15,21,False
15,22,False
16,22,False
16,23,False
17,23,False
17,24,False
18,24,False
19,24,False
19,25,False
