my_score,opponent_score,win
0,0,True
1,0,True
2,0,True
2,1,True
3,1,True
4,1,True
5,1,True
5,2,True
5,3,True
6,3,True
6,4,True
6,5,True
6,6,True
6,7,True
6,8,True
6,9,True
7,9,True
7,10,True
7,11,True
8,11,True
8,12,True
9,12,True
9,13,True
10,13,True
11,13,True
11,14,True
11,15,True
12,15,True
13,15,True
14,15,True
14,16,True
15,16,True
16,16,True
16,17,True
17,17,True
17,18,True
17,19,True
17,20,True
17,21,True
18,21,True
18,22,True
19,22,True
19,23,True
20,23,True
21,23,True
22,23,True
23,23,True
23,24,True
24,24,True
25,24,True
26,24,True
