my_score,opponent_score,win
0,0,False
1,0,False
2,0,False
2,1,False
3,1,False
3,2,False
3,3,False
3,4,False
3,5,False
3,6,False
4,6,False
4,7,False
4,8,False
5,8,False
5,9,False
5,10,False
6,10,False
6,11,False
6,12,False
7,12,False
7,13,False
8,13,False
8,14,False
9,14,False
9,15,False
10,15,False
10,16,False
11,16,False
11,17,False
11,18,False
11,19,False
11,20,False
11,21,False
11,22,False
12,22,False
13,22,False
14,22,False
15,22,False
16,22,False
16,23,False
17,23,False
17,24,False
17,25,False
