my_score,opponent_score,win
0,0,False
1,0,False
1,1,False
1,2,False
1,3,False
1,4,False
1,5,False
2,5,False
2,6,False
3,6,False
4,6,False
4,7,False
5,7,False
5,8,False
6,8,False
6,9,False
7,9,False
8,9,False
9,9,False
9,10,False
10,10,False
10,11,False
10,12,False
11,12,False
12,12,False
12,13,False
13,13,False
13,14,False
14,14,False
14,15,False
14,16,False
15,16,False
15,17,False
16,17,False
16,18,False
17,18,False
17,19,False
18,19,False
19,19,False
20,19,False
20,20,False
20,21,False
20,22,False
20,23,False
20,24,False
20,25,False
