my_score,opponent_score,win
0,0,False
1,0,False
1,1,False
2,1,False
2,2,False
3,2,False
4,2,False
5,2,False
5,3,False
6,3,False
6,4,False
6,5,False
6,6,False
7,6,False
7,7,False
7,8,False
8,8,False
8,9,False
8,10,False
9,10,False
10,10,False
10,11,False
10,12,False
11,12,False
11,13,False
12,13,False
12,14,False
13,14,False
13,15,False
13,16,False
14,16,False
14,17,False
15,17,False
15,18,False
15,19,False
16,19,False
16,20,False
17,20,False
17,21,False
18,21,False
19,21,False
19,22,False
19,23,False
20,23,False
21,23,False
22,23,False
23,23,False
23,24,False
24,24,False
24,25,False
25,25,False
25,26,False
26,26,False
26,27,False
27,27,False
27,28,False
27,29,False
