my_score,opponent_score,win
0,0,False
1,0,False
2,0,False
3,0,False
4,0,False
4,1,False
4,2,False
4,3,False
5,3,False
5,4,False
6,4,False
6,5,False
6,6,False
7,6,False
7,7,False
8,7,False
9,7,False
9,8,False
9,9,False
10,9,False
11,9,False
11,10,False
11,11,False
11,12,False
12,12,False
12,13,False
12,14,False
12,15,False
13,15,False
13,16,False
14,16,False
14,17,False
15,17,False
16,17,False
17,17,False
18,17,False
18,18,False
18,19,False
18,20,False
19,20,False
20,20,False
21,20,False
21,21,False
22,21,False
23,21,False
23,22,False
23,23,False
24,23,False
24,24,False
25,24,False
25,25,False
26,25,False
26,26,False
26,27,False
