my_score,opponent_score,win
0,0,True
1,0,True
1,1,True
2,1,True
3,1,True
3,2,True
4,2,True
4,3,True
4,4,True
4,5,True
4,6,True
4,7,True
4,8,True
4,9,True
5,9,True
5,10,True
6,10,True
6,11,True
7,11,True
7,12,True
7,13,True
8,13,True
8,14,True
8,15,True
8,16,True
8,17,True
9,17,True
10,17,True
10,18,True
11,18,True
12,18,True
13,18,True
13,19,True
13,20,True
14,20,True
14,21,True
15,21,True
16,21,True
16,22,True
17,22,True
18,22,True
18,23,True
19,23,True
20,23,True
21,23,True
22,23,True
22,24,True
23,24,True
24,24,True
25,24,True
26,24,True
