my_score,opponent_score,win
0,0,True
0,1,True
1,1,True
1,2,True
2,2,True
3,2,True
3,3,True
4,3,True
5,3,True
5,4,True
6,4,True
6,5,True
7,5,True
8,5,True
8,6,True
9,6,True
9,7,True
10,7,True
10,8,True
11,8,True
11,9,True
12,9,True
12,10,True
12,11,True
12,12,True
12,13,True
13,13,True
13,14,True
14,14,True
14,15,True
15,15,True
16,15,True
17,15,True
17,16,True
17,17,True
18,17,True
18,18,True
19,18,True
19,19,True
19,20,True
19,21,True
19,22,True
20,22,True
20,23,True
21,23,True
22,23,True
23,23,True
23,24,True
24,24,True
25,24,True
25,25,True
26,25,True
26,26,True
27,26,True
28,26,True
