my_score,opponent_score,win
0,0,True
1,0,True
1,1,True
1,2,True
1,3,True
2,3,True
3,3,True
3,4,True
4,4,True
5,4,True
6,4,True
7,4,True
7,5,True
8,5,True
8,6,True
9,6,True
9,7,True
9,8,True
10,8,True
11,8,True
11,9,True
12,9,True
12,10,True
12,11,True
13,11,True
13,12,True
14,12,True
15,12,True
15,13,True
15,14,True
16,14,True
17,14,True
17,15,True
18,15,True
19,15,True
19,16,True
20,16,True
21,16,True
22,16,True
22,17,True
22,18,True
23,18,True
23,19,True
23,20,True
24,20,True
24,21,True
24,22,True
24,23,True
24,24,True
25,24,True
25,25,True
25,26,True
26,26,True
26,27,True
27,27,True
27,28,True
28,28,True
28,29,True
29,29,True
30,29,True
31,29,True
