my_score,opponent_score,win
0,0,False
0,1,False
0,2,False
1,2,False
1,3,False
2,3,False
3,3,False
4,3,False
4,4,False
4,5,False
4,6,False
4,7,False
4,8,False
4,9,False
4,10,False
5,10,False
5,11,False
5,12,False
5,13,False
6,13,False
6,14,False
7,14,False
7,15,False
8,15,False
8,16,False
9,16,False
10,16,False
10,17,False
11,17,False
11,18,False
11,19,False
11,20,False
11,21,False
12,21,False
12,22,False
13,22,False
13,23,False
14,23,False
15,23,False
16,23,False
17,23,False
18,23,False
19,23,False
20,23,False
20,24,False
20,25,False
