my_score,opponent_score,win
0,0,False
1,0,False
2,0,False
2,1,False
2,2,False
2,3,False
2,4,False
2,5,False
2,6,False
2,7,False
3,7,False
3,8,False
4,8,False
5,8,False
6,8,False
7,8,False
7,9,False
7,10,False
7,11,False
8,11,False
8,12,False
9,12,False
9,13,False
9,14,False
9,15,False
10,15,False
10,16,False
10,17,False
11,17,False
11,18,False
11,19,False
12,19,False
13,19,False
13,20,False
14,20,False
15,20,False
15,21,False
16,21,False
16,22,False
17,22,False
17,23,False
18,23,False
18,24,False
19,24,False
20,24,False
21,24,False
21,25,False
