my_score,opponent_score,win
0,0,False
1,0,False
1,1,False
2,1,False
3,1,False
3,2,False
4,2,False
4,3,False
5,3,False
6,3,False
6,4,False
7,4,False
7,5,False
8,5,False
8,6,False
8,7,False
8,8,False
8,9,False
8,10,False
9,10,False
10,10,False
11,10,False
11,11,False
12,11,False
13,11,False
14,11,False
14,12,False
15,12,False
15,13,False
15,14,False
16,14,False
16,15,False
17,15,False
17,16,False
17,17,False
17,18,False
17,19,False
17,20,False
17,21,False
17,22,False
17,23,False
17,24,False
18,24,False
19,24,False
20,24,False
21,24,False
21,25,False
