my_score,opponent_score,win
0,0,False
0,1,False
1,1,False
2,1,False
3,1,False
3,2,False
3,3,False
4,3,False
5,3,False
6,3,False
7,3,False
7,4,False
7,5,False
7,6,False
8,6,False
8,7,False
8,8,False
8,9,False
8,10,False
9,10,False
10,10,False
10,11,False
10,12,False
10,13,False
10,14,False
11,14,False
11,15,False
11,16,False
11,17,False
12,17,False
13,17,False
14,17,False
14,18,False
15,18,False
15,19,False
16,19,False
17,19,False
17,20,False
18,20,False
18,21,False
18,22,False
19,22,False
19,23,False
19,24,False
19,25,False
