my_score,opponent_score,win
0,0,False
0,1,False
0,2,False
0,3,False
1,3,False
1,4,False
2,4,False
3,4,False
4,4,False
5,4,False
5,5,False
5,6,False
5,7,False
5,8,False
5,9,False
6,9,False
6,10,False
7,10,False
7,11,False
7,12,False
8,12,False
9,12,False
10,12,False
10,13,False
11,13,False
11,14,False
12,14,False
12,15,False
12,16,False
12,17,False
12,18,False
12,19,False
12,20,False
13,20,False
14,20,False
15,20,False
15,21,False
15,22,False
16,22,False
16,23,False
17,23,False
17,24,False
18,24,False
18,25,False
