my_score,opponent_score,win
0,0,False
1,0,False
1,1,False
1,2,False
1,3,False
2,3,False
3,3,False
4,3,False
4,4,False
5,4,False
5,5,False
6,5,False
7,5,False
8,5,False
9,5,False
9,6,False
10,6,False
10,7,False
10,8,False
11,8,False
11,9,False
11,10,False
11,11,False
11,12,False
12,12,False
12,13,False
13,13,False
13,14,False
14,14,False
14,15,False
15,15,False
15,16,False
15,17,False
16,17,False
16,18,False
16,19,False
16,20,False
17,20,False
17,21,False
18,21,False
19,21,False
19,22,False
20,22,False
20,23,False
21,23,False
21,24,False
21,25,False
