my_score,opponent_score,win
0,0,False
1,0,False
1,1,False
1,2,False
2,2,False
3,2,False
3,3,False
3,4,False
3,5,False
4,5,False
4,6,False
4,7,False
4,8,False
5,8,False
5,9,False
6,9,False
6,10,False
7,10,False
7,11,False
7,12,False
8,12,False
8,13,False
9,13,False
10,13,False
11,13,False
11,14,False
12,14,False
13,14,False
14,14,False
15,14,False
15,15,False
15,16,False
15,17,False
16,17,False
16,18,False
16,19,False
16,20,False
17,20,False
18,20,False
19,20,False
19,21,False
20,21,False
21,21,False
21,22,False
21,23,False
21,24,False
22,24,False
23,24,False
23,25,False
