my_score,opponent_score,win
0,0,False
1,0,False
1,1,False
2,1,False
3,1,False
3,2,False
4,2,False
4,3,False
5,3,False
6,3,False
6,4,False
6,5,False
7,5,False
8,5,False
8,6,False
9,6,False
9,7,False
9,8,False
9,9,False
10,9,False
10,10,False
11,10,False
11,11,False
12,11,False
12,12,False
12,13,False
12,14,False
13,14,False
14,14,False
15,14,False
15,15,False
15,16,False
16,16,False
16,17,False
16,18,False
16,19,False
17,19,False
18,19,False
18,20,False
19,20,False
19,21,False
20,21,False
20,22,False
21,22,False
22,22,False
22,23,False
23,23,False
23,24,False
23,25,False
