my_score,opponent_score,win
0,0,False
0,1,False
1,1,False
1,2,False
1,3,False
2,3,False
3,3,False
3,4,False
4,4,False
4,5,False
4,6,False
5,6,False
5,7,False
6,7,False
6,8,False
7,8,False
7,9,False
7,10,False
7,11,False
8,11,False
8,12,False
8,13,False
9,13,False
9,14,False
9,15,False
10,15,False
10,16,False
11,16,False
11,17,False
12,17,False
12,18,False
13,18,False
13,19,False
14,19,False
15,19,False
15,20,False
16,20,False
17,20,False
18,20,False
18,21,False
19,21,False
19,22,False
20,22,False
20,23,False
