my_score,opponent_score,win
0,0,False
1,0,False
2,0,False
2,1,False
3,1,False
3,2,False
4,2,False
4,3,False
5,3,False
6,3,False
7,3,False
8,3,False
9,3,False
10,3,False
10,4,False
10,5,False
11,5,False
11,6,False
12,6,False
12,7,False
13,7,False
13,8,False
13,9,False
14,9,False
14,10,False
14,11,False
14,12,False
14,13,False
15,13,False
15,14,False
15,15,False
15,16,False
15,17,False
16,17,False
16,18,False
17,18,False
17,19,False
18,19,False
18,20,False
18,21,False
18,22,False
18,23,False
18,24,False
19,24,False
19,25,False
