my_score,opponent_score,win
0,0,False
1,0,False
2,0,False
3,0,False
3,1,False
4,1,False
5,1,False
5,2,False
5,3,False
6,3,False
7,3,False
7,4,False
8,4,False
8,5,False
9,5,False
9,6,False
9,7,False
10,7,False
11,7,False
12,7,False
12,8,False
12,9,False
13,9,False
13,10,False
14,10,False
14,11,False
15,11,False
15,12,False
15,13,False
16,13,False
16,14,False
17,14,False
17,15,False
17,16,False
17,17,False
18,17,False
18,18,False
18,19,False
19,19,False
19,20,False
20,20,False
20,21,False
20,22,False
20,23,False
21,23,False
21,24,False
21,25,False
