my_score,opponent_score,win
0,0,False
0,1,False
0,2,False
0,3,False
1,3,False
1,4,False
1,5,False
1,6,False
1,7,False
2,7,False
2,8,False
2,9,False
2,10,False
3,10,False
3,11,False
3,12,False
4,12,False
4,13,False
5,13,False
5,14,False
5,15,False
6,15,False
6,16,False
7,16,False
7,17,False
7,18,False
8,18,False
8,19,False
9,19,False
9,20,False
10,20,False
11,20,False
11,21,False
12,21,False
13,21,False
14,21,False
15,21,False
16,21,False
16,22,False
17,22,False
18,22,False
18,23,False
19,23,False
19,24,False
20,24,False
20,25,False
