my_score,opponent_score,win
0,0,False
1,0,False
1,1,False
1,2,False
1,3,False
2,3,False
2,4,False
3,4,False
4,4,False
4,5,False
4,6,False
5,6,False
5,7,False
5,8,False
6,8,False
6,9,False
7,9,False
8,9,False
8,10,False
8,11,False
8,12,False
9,12,False
10,12,False
10,13,False
11,13,False
12,13,False
12,14,False
12,15,False
12,16,False
13,16,False
13,17,False
14,17,False
14,18,False
14,19,False
15,19,False
15,20,False
15,21,False
16,21,False
16,22,False
16,23,False
17,23,False
17,24,False
18,24,False
19,24,False
19,25,False
