my_score,opponent_score,win
0,0,True
0,1,True
1,1,True
2,1,True
3,1,True
3,2,True
4,2,True
5,2,True
6,2,True
7,2,True
8,2,True
9,2,True
10,2,True
10,3,True
11,3,True
12,3,True
12,4,True
13,4,True
14,4,True
15,4,True
16,4,True
16,5,True
16,6,True
17,6,True
17,7,True
17,8,True
17,9,True
17,10,True
17,11,True
18,11,True
18,12,True
19,12,True
20,12,True
20,13,True
20,14,True
20,15,True
20,16,True
21,16,True
21,17,True
21,18,True
22,18,True
22,19,True
23,19,True
23,20,True
23,21,True
23,22,True
23,23,True
24,23,True
25,23,True
