my_score,opponent_score,win
0,0,False
0,1,False
0,2,False
1,2,False
1,3,False
1,4,False
1,5,False
2,5,False
3,5,False
4,5,False
4,6,False
5,6,False
5,7,False
5,8,False
5,9,False
5,10,False
6,10,False
6,11,False
7,11,False
7,12,False
8,12,False
8,13,False
9,13,False
10,13,False
11,13,False
12,13,False
13,13,False
14,13,False
14,14,False
15,14,False
16,14,False
17,14,False
17,15,False
18,15,False
18,16,False
18,17,False
18,18,False
18,19,False
19,19,False
19,20,False
20,20,False
21,20,False
21,21,False
21,22,False
22,22,False
23,22,False
23,23,False
24,23,False
24,24,False
25,24,False
25,25,False
25,26,False
25,27,False
