my_score,opponent_score,win
0,0,False
0,1,False
1,1,False
2,1,False
2,2,False
3,2,False
4,2,False
4,3,False
5,3,False
5,4,False
6,4,False
7,4,False
7,5,False
7,6,False
7,7,False
8,7,False
8,8,False
8,9,False
8,10,False
8,11,False
9,11,False
10,11,False
11,11,False
11,12,False
12,12,False
12,13,False
12,14,False
13,14,False
13,15,False
13,16,False
13,17,False
13,18,False
14,18,False
14,19,False
14,20,False
15,20,False
15,21,False
15,22,False
16,22,False
17,22,False
17,23,False
17,24,False
17,25,False
