my_score,opponent_score,win
0,0,False
1,0,False
1,1,False
2,1,False
3,1,False
3,2,False
4,2,False
4,3,False
5,3,False
5,4,False
6,4,False
6,5,False
6,6,False
6,7,False
7,7,False
8,7,False
8,8,False
8,9,False
8,10,False
9,10,False
10,10,False
11,10,False
12,10,False
12,11,False
12,12,False
12,13,False
13,13,False
13,14,False
14,14,False
14,15,False
14,16,False
14,17,False
15,17,False
16,17,False
16,18,False
16,19,False
16,20,False
17,20,False
18,20,False
19,20,False
19,21,False
19,22,False
19,23,False
20,23,False
21,23,False
22,23,False
22,24,False
23,24,False
23,25,False
