my_score,opponent_score,win
0,0,False
1,0,False
1,1,False
1,2,False
2,2,False
2,3,False
2,4,False
3,4,False
3,5,False
3,6,False
3,7,False
3,8,False
3,9,False
3,10,False
4,10,False
4,11,False
5,11,False
6,11,False
6,12,False
6,13,False
7,13,False
8,13,False
9,13,False
9,14,False
9,15,False
10,15,False
10,16,False
11,16,False
12,16,False
12,17,False
13,17,False
13,18,False
13,19,False
14,19,False
15,19,False
16,19,False
16,20,False
16,21,False
16,22,False
17,22,False
17,23,False
17,24,False
17,25,False
