my_score,opponent_score,win
0,0,False
1,0,False
2,0,False
2,1,False
2,2,False
3,2,False
3,3,False
4,3,False
5,3,False
5,4,False
5,5,False
5,6,False
5,7,False
6,7,False
6,8,False
6,9,False
6,10,False
6,11,False
7,11,False
8,11,False
9,11,False
9,12,False
10,12,False
11,12,False
11,13,False
12,13,False
12,14,False
13,14,False
13,15,False
13,16,False
13,17,False
13,18,False
13,19,False
14,19,False
14,20,False
15,20,False
15,21,False
16,21,False
16,22,False
17,22,False
17,23,False
17,24,False
17,25,False
