my_score,opponent_score,win
0,0,False
0,1,False
0,2,False
1,2,False
1,3,False
1,4,False
2,4,False
3,4,False
4,4,False
5,4,False
6,4,False
6,5,False
7,5,False
7,6,False
7,7,False
7,8,False
7,9,False
7,10,False
7,11,False
7,12,False
7,13,False
8,13,False
8,14,False
9,14,False
9,15,False
10,15,False
10,16,False
11,16,False
11,17,False
12,17,False
12,18,False
13,18,False
13,19,False
14,19,False
14,20,False
14,21,False
14,22,False
15,22,False
16,22,False
16,23,False
16,24,False
17,24,False
17,25,False
