my_score,opponent_score,win
0,0,True
0,1,True
0,2,True
1,2,True
1,3,True
2,3,True
2,4,True
3,4,True
4,4,True
4,5,True
5,5,True
5,6,True
6,6,True
7,6,True
8,6,True
8,7,True
8,8,True
9,8,True
10,8,True
11,8,True
12,8,True
13,8,True
14,8,True
15,8,True
15,9,True
16,9,True
16,10,True
17,10,True
18,10,True
18,11,True
18,12,True
19,12,True
19,13,True
20,13,True
20,14,True
20,15,True
20,16,True
21,16,True
21,17,True
21,18,True
22,18,True
22,19,True
22,20,True
23,20,True
23,21,True
24,21,True
25,21,True
