my_score,opponent_score,win
0,0,False
0,1,False
0,2,False
0,3,False
0,4,False
1,4,False
1,5,False
2,5,False
2,6,False
2,7,False
3,7,False
4,7,False
5,7,False
6,7,False
6,8,False
7,8,False
7,9,False
8,9,False
9,9,False
9,10,False
9,11,False
9,12,False
9,13,False
9,14,False
10,14,False
11,14,False
11,15,False
11,16,False
12,16,False
13,16,False
13,17,False
14,17,False
14,18,False
15,18,False
16,18,False
16,19,False
17,19,False
18,19,False
18,20,False
19,20,False
19,21,False
20,21,False
20,22,False
21,22,False
22,22,False
22,23,False
23,23,False
23,24,False
23,25,False
