my_score,opponent_score,win
0,0,True
1,0,True
1,1,True
1,2,True
1,3,True
2,3,True
2,4,True
2,5,True
2,6,True
2,7,True
3,7,True
4,7,True
5,7,True
6,7,True
6,8,True
6,9,True
7,9,True
7,10,True
8,10,True
9,10,True
10,10,True
11,10,True
11,11,True
12,11,True
12,12,True
12,13,True
13,13,True
14,13,True
15,13,True
16,13,True
17,13,True
18,13,True
18,14,True
19,14,True
19,15,True
19,16,True
19,17,True
20,17,True
21,17,True
22,17,True
23,17,True
23,18,True
23,19,True
23,20,True
23,21,True
24,21,True
25,21,True
