my_score,opponent_score,win
0,0,True
1,0,True
2,0,True
2,1,True
2,2,True
2,3,True
2,4,True
3,4,True
4,4,True
5,4,True
6,4,True
7,4,True
7,5,True
7,6,True
7,7,True
8,7,True
8,8,True
8,9,True
9,9,True
9,10,True
9,11,True
9,12,True
10,12,True
10,13,True
10,14,True
11,14,True
11,15,True
11,16,True
11,17,True
12,17,True
13,17,True
13,18,True
13,19,True
14,19,True
15,19,True
16,19,True
17,19,True
18,19,True
19,19,True
19,20,True
20,20,True
20,21,True
21,21,True
22,21,True
22,22,True
23,22,True
24,22,True
24,23,True
25,23,True
