my_score,opponent_score,win
0,0,False
1,0,False
1,1,False
1,2,False
1,3,False
2,3,False
2,4,False
2,5,False
3,5,False
3,6,False
3,7,False
4,7,False
4,8,False
5,8,False
5,9,False
6,9,False
7,9,False
7,10,False
7,11,False
8,11,False
9,11,False
9,12,False
9,13,False
9,14,False
10,14,False
10,15,False
11,15,False
12,15,False
13,15,False
13,16,False
14,16,False
14,17,False
14,18,False
15,18,False
15,19,False
15,20,False
15,21,False
16,21,False
16,22,False
17,22,False
17,23,False
18,23,False
18,24,False
19,24,False
19,25,False
