my_score,opponent_score,win
0,0,True
1,0,True
1,1,True
2,1,True
3,1,True
4,1,True
4,2,True
4,3,True
5,3,True
5,4,True
6,4,True
6,5,True
7,5,True
8,5,True
8,6,True
8,7,True
8,8,True
9,8,True
9,9,True
9,10,True
9,11,True
10,11,True
10,12,True
11,12,True
12,12,True
12,13,True
13,13,True
13,14,True
14,14,True
14,15,True
15,15,True
15,16,True
16,16,True
16,17,True
16,18,True
17,18,True
17,19,True
18,19,True
18,20,True
19,20,True
20,20,True
21,20,True
22,20,True
22,21,True
23,21,True
24,21,True
24,22,True
24,23,True
25,23,True
