my_score,opponent_score,win
0,0,False
0,1,False
0,2,False
1,2,False
2,2,False
2,3,False
3,3,False
4,3,False
4,4,False
5,4,False
5,5,False
5,6,False
6,6,False
6,7,False
7,7,False
7,8,False
8,8,False
9,8,False
10,8,False
10,9,False
11,9,False
12,9,False
12,10,False
12,11,False
13,11,False
13,12,False
14,12,False
14,13,False
15,13,False
16,13,False
16,14,False
16,15,False
17,15,False
17,16,False
17,17,False
18,17,False
18,18,False
19,18,False
19,19,False
20,19,False
21,19,False
21,20,False
21,21,False
21,22,False
21,23,False
22,23,False
22,24,False
23,24,False
23,25,False
