my_score,opponent_score,win
0,0,True
0,1,True
1,1,True
2,1,True
3,1,True
3,2,True
3,3,True
3,4,True
4,4,True
4,5,True
5,5,True
6,5,True
6,6,True
6,7,True
7,7,True
8,7,True
9,7,True
10,7,True
10,8,True
11,8,True
12,8,True
13,8,True
13,9,True
13,10,True
14,10,True
15,10,True
16,10,True
17,10,True
18,10,True
19,10,True
20,10,True
20,11,True
20,12,True
21,12,True
21,13,True
21,14,True
21,15,True
21,16,True
21,17,True
22,17,True
23,17,True
23,18,True
23,19,True
23,20,True
23,21,True
24,21,True
25,21,True
