my_score,opponent_score,win
0,0,False
0,1,False
1,1,False
1,2,False
2,2,False
3,2,False
4,2,False
5,2,False
6,2,False
6,3,False
7,3,False
8,3,False
9,3,False
10,3,False
11,3,False
12,3,False
13,3,False
13,4,False
13,5,False
13,6,False
13,7,False
13,8,False
13,9,False
13,10,False
13,11,False
13,12,False
14,12,False
14,13,False
15,13,False
16,13,False
16,14,False
16,15,False
17,15,False
17,16,False
18,16,False
18,17,False
19,17,False
19,18,False
19,19,False
20,19,False
20,20,False
21,20,False
22,20,False
22,21,False
22,22,False
23,22,False
23,23,False
24,23,False
24,24,False
25,24,False
25,25,False
25,26,False
26,26,False
26,27,False
26,28,False
