my_score,opponent_score,win
0,0,True
1,0,True
1,1,True
1,2,True
1,3,True
2,3,True
2,4,True
3,4,True
3,5,True
4,5,True
5,5,True
6,5,True
6,6,True
6,7,True
7,7,True
7,8,True
7,9,True
8,9,True
8,10,True
9,10,True
9,11,True
9,12,True
10,12,True
11,12,True
11,13,True
12,13,True
12,14,True
12,15,True
13,15,True
13,16,True
13,17,True
13,18,True
14,18,True
14,19,True
15,19,True
16,19,True
17,19,True
17,20,True
18,20,True
19,20,True
19,21,True
20,21,True
20,22,True
21,22,True
22,22,True
23,22,True
23,23,True
24,23,True
24,24,True
24,25,True
25,25,True
25,26,True
26,26,True
26,27,True
27,27,True
27,28,True
28,28,True
29,28,True
29,29,True
30,29,True
30,30,True
30,31,True
31,31,True
31,32,True
32,32,True
33,32,True
33,33,True
34,33,True
35,33,True
