my_score,opponent_score,win
0,0,False
0,1,False
1,1,False
2,1,False
3,1,False
4,1,False
4,2,False
4,3,False
4,4,False
4,5,False
5,5,False
5,6,False
5,7,False
5,8,False
5,9,False
5,10,False
6,10,False
6,11,False
6,12,False
6,13,False
6,14,False
7,14,False
8,14,False
8,15,False
9,15,False
10,15,False
11,15,False
11,16,False
11,17,False
12,17,False
12,18,False
13,18,False
13,19,False
13,20,False
13,21,False
14,21,False
15,21,False
16,21,False
17,21,False
17,22,False
18,22,False
18,23,False
19,23,False
20,23,False
20,24,False
20,25,False
