my_score,opponent_score,win
0,0,False
1,0,False
2,0,False
2,1,False
2,2,False
3,2,False
3,3,False
4,3,False
4,4,False
4,5,False
4,6,False
4,7,False
4,8,False
4,9,False
5,9,False
5,10,False
5,11,False
5,12,False
6,12,False
7,12,False
8,12,False
9,12,False
9,13,False
10,13,False
11,13,False
11,14,False
12,14,False
12,15,False
13,15,False
13,16,False
13,17,False
14,17,False
14,18,False
14,19,False
14,20,False
15,20,False
15,21,False
15,22,False
16,22,False
16,23,False
17,23,False
18,23,False
19,23,False
20,23,False
21,23,False
22,23,False
23,23,False
23,24,False
24,24,False
25,24,False
25,25,False
25,26,False
25,27,False
