my_score,opponent_score,win
0,0,True
0,1,True
0,2,True
1,2,True
1,3,True
1,4,True
1,5,True
2,5,True
3,5,True
4,5,True
4,6,True
5,6,True
5,7,True
5,8,True
6,8,True
7,8,True
7,9,True
7,10,True
7,11,True
7,12,True
7,13,True
8,13,True
8,14,True
9,14,True
10,14,True
11,14,True
12,14,True
13,14,True
14,14,True
14,15,True
14,16,True
15,16,True
15,17,True
15,18,True
16,18,True
17,18,True
18,18,True
19,18,True
19,19,True
20,19,True
21,19,True
21,20,True
22,20,True
22,21,True
22,22,True
23,22,True
25,22,True
