my_score,opponent_score,win
0,0,False
1,0,False
1,1,False
2,1,False
3,1,False
3,2,False
4,2,False
5,2,False
5,3,False
6,3,False
6,4,False
7,4,False
7,5,False
8,5,False
9,5,False
10,5,False
11,5,False
11,6,False
12,6,False
12,7,False
13,7,False
14,7,False
15,7,False
15,8,False
15,9,False
15,10,False
15,11,False
15,12,False
16,12,False
17,12,False
17,13,False
17,14,False
17,15,False
18,15,False
18,16,False
19,16,False
19,17,False
19,18,False
20,18,False
20,19,False
20,20,False
21,20,False
21,21,False
21,22,False
22,22,False
22,23,False
22,24,False
22,25,False
