my_score,opponent_score,win
0,0,False
1,0,False
1,1,False
2,1,False
2,2,False
3,2,False
4,2,False
4,3,False
4,4,False
4,5,False
4,6,False
4,7,False
4,8,False
5,8,False
5,9,False
5,10,False
6,10,False
7,10,False
8,10,False
9,10,False
9,11,False
10,11,False
10,12,False
10,13,False
10,14,False
11,14,False
12,14,False
12,15,False
13,15,False
14,15,False
14,16,False
14,17,False
15,17,False
15,18,False
16,18,False
17,18,False
17,19,False
18,19,False
19,19,False
19,20,False
19,21,False
19,22,False
20,22,False
20,23,False
21,23,False
21,24,False
21,25,False
