my_score,opponent_score,win
0,0,False
0,1,False
1,1,False
1,2,False
2,2,False
2,3,False
2,4,False
3,4,False
3,5,False
4,5,False
4,6,False
5,6,False
5,7,False
5,8,False
6,8,False
6,9,False
6,10,False
7,10,False
7,11,False
7,12,False
7,13,False
7,14,False
8,14,False
8,15,False
8,16,False
9,16,False
10,16,False
10,17,False
11,17,False
12,17,False
13,17,False
13,18,False
14,18,False
14,19,False
15,19,False
15,20,False
15,21,False
16,21,False
16,22,False
17,22,False
18,22,False
18,23,False
19,23,False
20,23,False
20,24,False
21,24,False
22,24,False
23,24,False
23,25,False
