my_score,opponent_score,win
0,0,False
1,0,False
1,1,False
2,1,False
2,2,False
2,3,False
2,4,False
2,5,False
3,5,False
4,5,False
5,5,False
5,6,False
6,6,False
7,6,False
8,6,False
9,6,False
10,6,False
11,6,False
11,7,False
12,7,False
12,8,False
13,8,False
13,9,False
13,10,False
14,10,False
15,10,False
15,11,False
15,12,False
15,13,False
15,14,False
15,15,False
16,15,False
16,16,False
16,17,False
17,17,False
17,18,False
18,18,False
18,19,False
19,19,False
19,20,False
20,20,False
20,21,False
20,22,False
20,23,False
21,23,False
22,23,False
22,24,False
23,24,False
23,25,False
