my_score,opponent_score,win
0,0,True
0,1,True
1,1,True
1,2,True
1,3,True
1,4,True
1,5,True
2,5,True
2,6,True
3,6,True
4,6,True
4,7,True
5,7,True
5,8,True
5,9,True
5,10,True
6,10,True
7,10,True
7,11,True
8,11,True
8,12,True
9,12,True
9,13,True
10,13,True
11,13,True
12,13,True
12,14,True
13,14,True
13,15,True
14,15,True
14,16,True
15,16,True
16,16,True
16,17,True
17,17,True
18,17,True
18,18,True
19,18,True
20,18,True
21,18,True
22,18,True
22,19,True
23,19,True
23,20,True
24,20,True
24,21,True
24,22,True
25,22,True
