my_score,opponent_score,win
0,0,False
0,1,False
0,2,False
1,2,False
1,3,False
2,3,False
2,4,False
3,4,False
3,5,False
3,6,False
4,6,False
4,7,False
4,8,False
5,8,False
5,9,False
5,10,False
5,11,False
6,11,False
6,12,False
7,12,False
7,13,False
7,14,False
7,15,False
7,16,False
8,16,False
8,17,False
8,18,False
8,19,False
8,20,False
9,20,False
10,20,False
10,21,False
10,22,False
11,22,False
12,22,False
12,23,False
13,23,False
13,24,False
14,24,False
15,24,False
16,24,False
17,24,False
18,24,False
19,24,False
20,24,False
20,25,False
