my_score,opponent_score,win
0,0,True
1,0,True
1,1,True
2,1,True
3,1,True
3,2,True
4,2,True
5,2,True
6,2,True
6,3,True
6,4,True
6,5,True
7,5,True
8,5,True
8,6,True
8,7,True
9,7,True
9,8,True
9,9,True
10,9,True
11,9,True
11,10,True
11,11,True
12,11,True
13,11,True
13,12,True
14,12,True
14,13,True
14,14,True
15,14,True
16,14,True
16,15,True
17,15,True
18,15,True
19,15,True
19,16,True
20,16,True
20,17,True
21,17,True
21,18,True
22,18,True
23,18,True
23,19,True
23,20,True
24,20,True
24,21,True
25,21,True
