my_score,opponent_score,win
0,0,False
0,1,False
0,2,False
0,3,False
0,4,False
0,5,False
0,6,False
0,7,False
1,7,False
2,7,False
3,7,False
4,7,False
5,7,False
5,8,False
6,8,False
7,8,False
8,8,False
9,8,False
9,9,False
10,9,False
10,10,False
11,10,False
11,11,False
11,12,False
11,13,False
12,13,False
13,13,False
13,14,False
13,15,False
13,16,False
13,17,False
13,18,False
13,19,False
13,20,False
14,20,False
15,20,False
16,20,False
16,21,False
17,21,False
17,22,False
18,22,False
18,23,False
19,23,False
20,23,False
21,23,False
21,24,False
22,24,False
23,24,False
23,25,False
