my_score,opponent_score,win
0,0,True
1,0,True
1,1,True
2,1,True
3,1,True
3,2,True
4,2,True
4,3,True
5,3,True
6,3,True
6,4,True
7,4,True
8,4,True
9,4,True
9,5,True
9,6,True
10,6,True
10,7,True
10,8,True
10,9,True
11,9,True
11,10,True
12,10,True
13,10,True
14,10,True
14,11,True
15,11,True
15,12,True
15,13,True
16,13,True
17,13,True
18,13,True
18,14,True
19,14,True
19,15,True
20,15,True
21,15,True
21,16,True
21,17,True
21,18,True
21,19,True
21,20,True
22,20,True
23,20,True
23,21,True
24,21,True
25,21,True
