my_score,opponent_score,win
0,0,False
0,1,False
0,2,False
0,3,False
1,3,False
2,3,False
3,3,False
3,4,False
3,5,False
4,5,False
4,6,False
5,6,False
5,7,False
5,8,False
5,9,False
5,10,False
6,10,False
6,11,False
6,12,False
7,12,False
7,13,False
7,14,False
8,14,False
9,14,False
9,15,False
10,15,False
10,16,False
10,17,False
11,17,False
11,18,False
12,18,False
12,19,False
13,19,False
13,20,False
14,20,False
14,21,False
15,21,False
16,21,False
16,22,False
16,23,False
16,24,False
17,24,False
17,25,False
