my_score,opponent_score,win
0,0,True
1,0,True
1,1,True
2,1,True
2,2,True
3,2,True
3,3,True
3,4,True
4,4,True
5,4,True
6,4,True
6,5,True
7,5,True
7,6,True
7,7,True
7,8,True
8,8,True
9,8,True
9,9,True
10,9,True
11,9,True
11,10,True
11,11,True
12,11,True
13,11,True
13,12,True
13,13,True
14,13,True
15,13,True
15,14,True
16,14,True
16,15,True
17,15,True
17,16,True
17,17,True
18,17,True
19,17,True
19,18,True
19,19,True
20,19,True
20,20,True
21,20,True
22,20,True
22,21,True
23,21,True
23,22,True
23,23,True
23,24,True
24,24,True
24,25,True
25,25,True
25,26,True
26,26,True
27,26,True
27,27,True
28,27,True
28,28,True
28,29,True
29,29,True
30,29,True
30,30,True
31,30,True
32,30,True
