my_score,opponent_score,win
0,0,False
0,1,False
1,1,False
2,1,False
3,1,False
3,2,False
4,2,False
4,3,False
5,3,False
5,4,False
6,4,False
7,4,False
8,4,False
9,4,False
9,5,False
10,5,False
10,6,False
10,7,False
10,8,False
10,9,False
11,9,False
12,9,False
12,10,False
13,10,False
13,11,False
13,12,False
14,12,False
14,13,False
14,14,False
15,14,False
15,15,False
16,15,False
17,15,False
17,16,False
17,17,False
17,18,False
17,19,False
17,20,False
17,21,False
17,22,False
17,23,False
18,23,False
18,24,False
19,24,False
19,25,False
