my_score,opponent_score,win
0,0,True
0,1,True
1,1,True
2,1,True
3,1,True
4,1,True
4,2,True
4,3,True
5,3,True
5,4,True
5,5,True
5,6,True
5,7,True
6,7,True
7,7,True
8,7,True
8,8,True
9,8,True
10,8,True
11,8,True
12,8,True
12,9,True
12,10,True
13,10,True
13,11,True
14,11,True
14,12,True
14,13,True
14,14,True
14,15,True
15,15,True
16,15,True
17,15,True
18,15,True
19,15,True
19,16,True
19,17,True
19,18,True
20,18,True
20,19,True
20,20,True
20,21,True
20,22,True
21,22,True
21,23,True
21,24,True
22,24,True
23,24,True
24,24,True
25,24,True
26,24,True
