my_score,opponent_score,win
0,0,False
1,0,False
1,1,False
2,1,False
2,2,False
3,2,False
3,3,False
4,3,False
5,3,False
6,3,False
6,4,False
7,4,False
7,5,False
8,5,False
8,6,False
8,7,False
8,8,False
9,8,False
9,9,False
9,10,False
10,10,False
10,11,False
10,12,False
10,13,False
11,13,False
11,14,False
11,15,False
12,15,False
13,15,False
13,16,False
14,16,False
15,16,False
16,16,False
16,17,False
16,18,False
17,18,False
17,19,False
18,19,False
18,20,False
19,20,False
19,21,False
19,22,False
20,22,False
21,22,False
21,23,False
22,23,False
22,24,False
23,24,False
24,24,False
25,24,False
25,25,False
25,26,False
25,27,False
