my_score,opponent_score,win
0,0,True
1,0,True
1,1,True
1,2,True
1,3,True
1,4,True
2,4,True
2,5,True
3,5,True
4,5,True
5,5,True
6,5,True
6,6,True
7,6,True
7,7,True
8,7,True
9,7,True
10,7,True
11,7,True
12,7,True
13,7,True
13,8,True
13,9,True
14,9,True
15,9,True
15,10,True
15,11,True
16,11,True
16,12,True
17,12,True
18,12,True
18,13,True
18,14,True
19,14,True
19,15,True
20,15,True
20,16,True
20,17,True
20,18,True
21,18,True
21,19,True
22,19,True
22,20,True
23,20,True
23,21,True
24,21,True
25,21,True
