my_score,opponent_score,win
0,0,False
0,1,False
0,2,False
0,3,False
1,3,False
2,3,False
3,3,False
4,3,False
5,3,False
6,3,False
6,4,False
6,5,False
7,5,False
7,6,False
8,6,False
9,6,False
9,7,False
9,8,False
9,9,False
9,10,False
10,10,False
10,11,False
10,12,False
10,13,False
10,14,False
11,14,False
12,14,False
13,14,False
13,15,False
13,16,False
13,17,False
14,17,False
15,17,False
16,17,False
17,17,False
17,18,False
17,19,False
17,20,False
17,21,False
18,21,False
18,22,False
19,22,False
19,23,False
20,23,False
21,23,False
22,23,False
22,24,False
23,24,False
23,25,False
