my_score,opponent_score,win
0,0,True
1,0,True
1,1,True
1,2,True
1,3,True
1,4,True
2,4,True
3,4,True
4,4,True
5,4,True
5,5,True
5,6,True
5,7,True
5,8,True
5,9,True
6,9,True
6,10,True
7,10,True
8,10,True
8,11,True
9,11,True
9,12,True
10,12,True
11,12,True
11,13,True
12,13,True
12,14,True
13,14,True
14,14,True
15,14,True
15,15,True
15,16,True
16,16,True
17,16,True
17,17,True
17,18,True
17,19,True
17,20,True
18,20,True
18,21,True
19,21,True
20,21,True
21,21,True
22,21,True
23,21,True
23,22,True
23,23,True
23,24,True
24,24,True
25,24,True
26,24,True
