my_score,opponent_score,win
0,0,False
1,0,False
2,0,False
2,1,False
3,1,False
3,2,False
3,3,False
3,4,False
3,5,False
4,5,False
5,5,False
5,6,False
5,7,False
6,7,False
6,8,False
6,9,False
7,9,False
8,9,False
9,9,False
9,10,False
10,10,False
10,11,False
11,11,False
12,11,False
12,12,False
12,13,False
12,14,False
12,15,False
13,15,False
13,16,False
14,16,False
15,16,False
16,16,False
16,17,False
17,17,False
18,17,False
18,18,False
18,19,False
19,19,False
20,19,False
20,20,False
21,20,False
21,21,False
21,22,False
22,22,False
22,23,False
22,24,False
22,25,False
