my_score,opponent_score,win
0,0,False
0,1,False
0,2,False
0,3,False
1,3,False
1,4,False
2,4,False
2,5,False
2,6,False
2,7,False
2,8,False
2,9,False
3,9,False
4,9,False
5,9,False
6,9,False
7,9,False
8,9,False
8,10,False
9,10,False
9,11,False
10,11,False
10,12,False
11,12,False
12,12,False
12,13,False
13,13,False
13,14,False
13,15,False
14,15,False
15,15,False
15,16,False
16,16,False
16,17,False
17,17,False
18,17,False
18,18,False
18,19,False
18,20,False
18,21,False
18,22,False
19,22,False
20,22,False
20,23,False
20,24,False
21,24,False
21,25,False
